time,density,kinetic_energy,stiffness,fluid_viscosity,boundary_viscosity,fluid_depth,rest_density_grid_spacing,smoothing_length,rest_density,time_step_size,target_density_error,solver_iterations,relaxation_factor,time_step_wall_clock_time,predicted_density_error
5.0,900.9017030832865,165.7581418098894,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.012967078,0.09962236985167991
5.01,900.8999436913181,165.9812294428648,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,9,0.5,0.013284179,0.09973641261454158
5.0200000000000005,900.9005908778358,165.820977332987,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.01147661,0.0994661319617759
5.03,900.8975354080768,166.01868999785046,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,8,0.5,0.009970373,0.09978329192722223
5.04,900.9003184400816,165.62482801500298,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.012545326,0.09956976388935494
5.05,900.8982078791133,165.55826923887918,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,8,0.5,0.009243319,0.09996352550537489
5.0600000000000005,900.9015124099781,164.8420488536474,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.012255375,0.0999268693407549
5.07,900.9016436699167,164.11562567435266,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.012753887,0.09976302643589115
5.08,900.9003591183784,163.48451407562604,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.011238989,0.09957519560656368
5.09,900.8990648713583,163.31539974025347,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.011840592,0.09956667999180648
5.1000000000000005,900.8997983216891,163.58919670591575,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,11,0.5,0.013670032,0.09949466576299011
5.11,900.8992907284393,164.7535734610202,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.011934153,0.09978278028682419
5.12,900.9021763683329,166.07062361020576,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,11,0.5,0.012659816,0.09977664210000683
5.13,900.9026327343258,168.11685583793172,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.012316115,0.09988523678356939
5.14,900.90359140125,169.6810461821033,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.011860122,0.09996557463627417
5.15,900.9040337394656,170.6486798324488,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.01130906,0.09986583679302104
5.16,900.9031291111261,170.71396243589396,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.012751237,0.09954401379297315
5.17,900.9007673024914,170.22388469063313,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,9,0.5,0.010248924,0.09970007363411357
5.18,900.9022254830982,169.251830212904,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.011258049,0.09967855225655828
5.19,900.9020395503945,168.64752869844312,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.013459341,0.09949423569820125
5.2,900.9006990962426,168.39991435022867,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,9,0.5,0.010302775,0.09994478388567661
5.21,900.9053165651313,167.94173441797534,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,11,0.5,0.011714132,0.09990412341293077
5.22,900.9046254187791,168.71536304894028,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.013184029,0.09989228852502918
5.23,900.9042320552769,169.624492032123,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.010885308,0.09986316380240717
5.24,900.9036456963444,170.82340047637936,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.010647966,0.09973357289744854
5.25,900.9023087704708,172.02161398800615,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.014149014,0.09950572327910483
5.26,900.8998068702024,173.0456513847886,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,9,0.5,0.010752517,0.09951782341825485
5.2700000000000005,900.900151356834,173.33536012163543,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,9,0.5,0.009977493,0.09981173291347858
5.28,900.9017694220323,173.38175126869487,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.012883158,0.09960103612086472
5.29,900.8993839124228,173.1803415960325,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,8,0.5,0.009763372,0.09990026909950354
5.3,900.9021941113259,171.72523013487256,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,11,0.5,0.011531681,0.09961788352245474
5.3100000000000005,900.89957523595,170.4073094369979,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,9,0.5,0.012015564,0.0998969950260181
5.32,900.902199772426,169.06163062953624,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,11,0.5,0.012296834,0.09978253087978654
5.33,900.9011536433107,168.37723446763107,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,9,0.5,0.010256374,0.09993953485886523
5.34,900.9023783369418,167.77056838468536,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.012876367,0.09986423652486036
5.3500000000000005,900.9014508485758,167.20189684520048,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.010984908,0.0995077461309545
5.36,900.8981302888178,166.58862278418923,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,9,0.5,0.011246589,0.09943366332839944
5.37,900.8978298371627,165.79933874093427,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,9,0.5,0.011731212,0.0998668102436287
5.38,900.9015740323058,164.99456591553317,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,11,0.5,0.011868482,0.09965315873839284
5.39,900.8997932546009,164.8187618235314,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,9,0.5,0.01128877,0.0999520861572385
5.4,900.9024882146194,164.14389380826987,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,11,0.5,0.014481606,0.09971631445941581
5.41,900.9007367267093,164.07460788768097,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.010625635,0.09987046799218775
5.42,900.9025265402031,163.85472689163763,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,11,0.5,0.012656477,0.09983465834618296
5.43,900.9027615751484,164.55787379773017,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,11,0.5,0.014452586,0.09961061062700068
5.44,900.9014556425024,165.91875622342448,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.011878133,0.09993822851789601
5.45,900.9034064114285,166.94544592438405,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,11,0.5,0.012216034,0.09967037747141236
5.46,900.9016478360403,168.63473935482835,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.012667837,0.09945692567888863
5.47,900.8996149338822,169.49211038672135,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,9,0.5,0.010457975,0.09982312065431767
5.48,900.9017931986134,169.1121052996163,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.01135817,0.09979218708681427
5.49,900.9017846977277,169.16702022777764,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.013010279,0.0994891040365793
5.5,900.8985249117017,168.93153544416734,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,9,0.5,0.010887248,0.09946761287239177
5.51,900.8984992596164,167.92785721120703,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.011037218,0.09948136341695879
5.5200000000000005,900.8989761668806,167.18688055111193,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.013062809,0.09968974311213101
5.53,900.8995150686533,166.55310909954582,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.011144789,0.09942200625008765
5.54,900.898420064315,166.51359226995464,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,9,0.5,0.010432485,0.09965256954131084
5.55,900.9004908090861,166.3829642421399,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,10,0.5,0.013417571,0.09953197335483617
5.5600000000000005,900.8994661392877,167.34332668805214,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,9,0.5,0.010252694,0.09948378554473113
5.57,900.8989747510939,167.9892366199019,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,9,0.5,0.010706946,0.09952591385457824
5.58,900.899260710535,168.47369114718586,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,9,0.5,0.012068194,0.09950640361885046
5.59,900.8984898321837,168.82308094098727,0.0,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,0.1,8,0.5,0.010016873,0.09977771003892712
